image_id,label
1000015157.jpg,0
1000201771.jpg,3
100042118.jpg,1
1000723321.jpg,1
1000812911.jpg,3
1000837476.jpg,3
1000910826.jpg,2
1001320321.jpg,0
1001723730.jpg,4
1001742395.jpg,3
1001749118.jpg,3
100204014.jpg,3
1002088496.jpg,1
1002255315.jpg,3
1002394761.jpg,3
1003218714.jpg,2
1003298598.jpg,3
1003442061.jpg,4
1003888281.jpg,0
1003987001.jpg,3
1004105566.jpg,3
1004163647.jpg,3
1004389140.jpg,1
1004672608.jpg,3
100472565.jpg,2
1004826518.jpg,2
1004881261.jpg,3
1005138819.jpg,3
1005200906.jpg,2
100533489.jpg,2
100560400.jpg,4
1005695738.jpg,3
1005739807.jpg,3
100609661.jpg,3
1007196516.jpg,3
1007246985.jpg,3
100731318.jpg,3
1007533812.jpg,3
1007700625.jpg,3
1007891044.jpg,3
1008126487.jpg,3
1008142548.jpg,1
1008244905.jpg,1
1008284502.jpg,3
1008532311.jpg,3
1009037539.jpg,3
1009049118.jpg,3
1009126931.jpg,4
1009148537.jpg,1
